ds,yhat,yhat_lower,yhat_upper,Vehicle_Category
2019-11-01,2687.802963826033,1312.154926361669,6178.755658913686,2-Wheelers
2019-12-01,2518.1002344556387,1041.1094896264876,5598.150324325547,2-Wheelers
2020-01-01,2535.4463743071683,1089.116630291486,5652.613377790477,2-Wheelers
2020-02-01,2722.574750353975,1205.534179854349,6303.285654440837,2-Wheelers
2020-03-01,4880.640870831289,2185.0058278027295,11707.474403652455,2-Wheelers
2020-04-01,2033.1674924609947,883.0201871925382,4713.446887127815,2-Wheelers
2020-05-01,2182.6947463013894,953.0108654072974,5183.245555272631,2-Wheelers
2020-06-01,3550.8406628358744,1589.597754675567,8313.707983024606,2-Wheelers
2020-07-01,4211.626253977546,1809.0184296564962,9289.660118365822,2-Wheelers
2020-08-01,4177.4684872562075,1869.0743207301841,9433.539827283683,2-Wheelers
2020-09-01,4722.849947671147,2033.512268844987,11564.872749622882,2-Wheelers
2020-10-01,5514.482204214059,2350.2217921757274,12327.65538504393,2-Wheelers
2020-11-01,6498.831025671164,3001.7497671534447,14595.309125051164,2-Wheelers
2020-12-01,6835.835155971078,2871.4551617303455,15267.804885558291,2-Wheelers
2021-01-01,7401.956720771074,3158.715833235445,17640.17361217348,2-Wheelers
2021-02-01,8517.402798961733,3745.6638623244808,19557.17266919589,2-Wheelers
2021-03-01,13429.224671289447,5846.297601798419,29667.612167574003,2-Wheelers
2021-04-01,5776.973013344021,2610.8321903299498,13559.525243247554,2-Wheelers
2021-05-01,5873.649094173609,2453.609132253441,13456.518995441207,2-Wheelers
2021-06-01,8979.236456163266,4134.852767751921,21005.818163869997,2-Wheelers
2021-07-01,10801.12008792166,4867.348800743947,24832.85398285907,2-Wheelers
2021-08-01,11050.31101290236,4484.559554763571,26159.047845224635,2-Wheelers
2021-09-01,12619.195883002812,5585.398701196679,28105.8045085925,2-Wheelers
2021-10-01,15529.842977531876,6506.158765980271,34247.99273497168,2-Wheelers
2021-11-01,18675.409157816546,8330.595636697391,42353.35805284345,2-Wheelers
2021-12-01,18648.738208814375,7740.302534050071,43899.05864060263,2-Wheelers
2022-01-01,19577.964236834057,7940.5268016442005,43259.434347039925,2-Wheelers
2022-02-01,22067.630363536304,9719.649852222514,49237.90908986838,2-Wheelers
2022-03-01,36903.46051536314,16685.927614850712,84191.7352215206,2-Wheelers
