date,State,Vehicle_Category,ev_sales
2014-03,Sikkim,2-Wheelers,0.0
2014-03,Sikkim,4-Wheelers,0.0
2014-03,Tamil Nadu,2-Wheelers,3.0
2014-03,Tamil Nadu,4-Wheelers,2.0
2014-03,Tripura,2-Wheelers,0.0
2014-03,Tripura,4-Wheelers,0.0
2014-03,Uttar Pradesh,2-Wheelers,11.0
2014-03,Uttar Pradesh,4-Wheelers,0.0
2014-03,Uttarakhand,2-Wheelers,1.0
2014-03,Uttarakhand,4-Wheelers,0.0
2014-03,West Bengal,2-Wheelers,0.0
2014-03,West Bengal,4-Wheelers,0.0
2014-04,Andaman & Nicobar Island,2-Wheelers,0.0
2014-04,Andaman & Nicobar Island,4-Wheelers,0.0
2014-04,Andhra Pradesh,2-Wheelers,1.0
2014-04,Andhra Pradesh,4-Wheelers,0.0
2014-04,Arunachal Pradesh,2-Wheelers,0.0
2014-04,Arunachal Pradesh,4-Wheelers,0.0
2014-04,Assam,2-Wheelers,0.0
2014-04,Assam,4-Wheelers,0.0
2014-04,Bihar,2-Wheelers,2.0
2014-04,Bihar,4-Wheelers,0.0
2014-04,Chandigarh,2-Wheelers,0.0
2014-04,Chandigarh,4-Wheelers,0.0
2014-04,Chhattisgarh,2-Wheelers,19.0
2014-04,Chhattisgarh,4-Wheelers,0.0
2014-04,DNH and DD,2-Wheelers,0.0
2014-04,DNH and DD,4-Wheelers,0.0
2014-04,Delhi,2-Wheelers,4.0
2014-04,Delhi,4-Wheelers,3.0
2014-04,Goa,2-Wheelers,1.0
2014-04,Goa,4-Wheelers,0.0
2014-04,Gujarat,2-Wheelers,2.0
2014-04,Gujarat,4-Wheelers,0.0
2014-04,Haryana,2-Wheelers,0.0
2014-04,Haryana,4-Wheelers,0.0
2014-04,Himachal Pradesh,2-Wheelers,0.0
2014-04,Himachal Pradesh,4-Wheelers,0.0
2014-04,Jammu and Kashmir,2-Wheelers,0.0
2014-04,Jammu and Kashmir,4-Wheelers,1.0
2014-04,Jharkhand,2-Wheelers,1.0
2014-04,Jharkhand,4-Wheelers,1.0
2014-04,Karnataka,2-Wheelers,27.0
2014-04,Karnataka,4-Wheelers,21.0
2014-04,Kerala,2-Wheelers,1.0
2014-04,Kerala,4-Wheelers,0.0
2014-04,Ladakh,2-Wheelers,0.0
2014-04,Ladakh,4-Wheelers,0.0
2014-04,Madhya Pradesh,2-Wheelers,0.0
2014-04,Madhya Pradesh,4-Wheelers,0.0
2014-04,Maharashtra,2-Wheelers,104.0
2014-04,Maharashtra,4-Wheelers,4.0
2014-04,Manipur,2-Wheelers,0.0
2014-04,Manipur,4-Wheelers,0.0
2014-04,Meghalaya,2-Wheelers,0.0
2014-04,Meghalaya,4-Wheelers,0.0
2014-04,Mizoram,2-Wheelers,0.0
2014-04,Mizoram,4-Wheelers,0.0
2014-04,Nagaland,2-Wheelers,0.0
2014-04,Nagaland,4-Wheelers,0.0
2014-04,Odisha,2-Wheelers,9.0
2014-04,Odisha,4-Wheelers,0.0
2014-04,Puducherry,2-Wheelers,0.0
2014-04,Puducherry,4-Wheelers,0.0
2014-04,Punjab,2-Wheelers,2.0
2014-04,Punjab,4-Wheelers,1.0
2014-04,Rajasthan,2-Wheelers,9.0
2014-04,Rajasthan,4-Wheelers,0.0
2014-04,Sikkim,2-Wheelers,0.0
2014-04,Sikkim,4-Wheelers,0.0
2014-04,Tamil Nadu,2-Wheelers,3.0
2014-04,Tamil Nadu,4-Wheelers,1.0
2014-04,Tripura,2-Wheelers,0.0
2014-04,Tripura,4-Wheelers,0.0
2014-04,Uttar Pradesh,2-Wheelers,7.0
2014-04,Uttar Pradesh,4-Wheelers,0.0
2014-04,Uttarakhand,2-Wheelers,0.0
2014-04,Uttarakhand,4-Wheelers,0.0
2014-04,West Bengal,2-Wheelers,0.0
2014-04,West Bengal,4-Wheelers,0.0
2014-05,Andaman & Nicobar Island,2-Wheelers,0.0
2014-05,Andaman & Nicobar Island,4-Wheelers,0.0
2014-05,Andhra Pradesh,2-Wheelers,1.0
2014-05,Andhra Pradesh,4-Wheelers,0.0
2014-05,Arunachal Pradesh,2-Wheelers,0.0
2014-05,Arunachal Pradesh,4-Wheelers,0.0
2014-05,Assam,2-Wheelers,0.0
2014-05,Assam,4-Wheelers,0.0
2014-05,Bihar,2-Wheelers,0.0
2014-05,Bihar,4-Wheelers,0.0
2014-05,Chandigarh,2-Wheelers,0.0
2014-05,Chandigarh,4-Wheelers,0.0
2014-05,Chhattisgarh,2-Wheelers,11.0
2014-05,Chhattisgarh,4-Wheelers,0.0
2014-05,DNH and DD,2-Wheelers,0.0
2014-05,DNH and DD,4-Wheelers,0.0
2014-05,Delhi,2-Wheelers,4.0
2014-05,Delhi,4-Wheelers,3.0
2014-05,Goa,2-Wheelers,0.0
2014-05,Goa,4-Wheelers,0.0
2014-05,Gujarat,2-Wheelers,0.0
2014-05,Gujarat,4-Wheelers,0.0
2014-05,Haryana,2-Wheelers,0.0
2014-05,Haryana,4-Wheelers,0.0
2014-05,Himachal Pradesh,2-Wheelers,0.0
2014-05,Himachal Pradesh,4-Wheelers,0.0
2014-05,Jammu and Kashmir,2-Wheelers,0.0
2014-05,Jammu and Kashmir,4-Wheelers,1.0
2014-05,Jharkhand,2-Wheelers,0.0
2014-05,Jharkhand,4-Wheelers,0.0
2014-05,Karnataka,2-Wheelers,9.0
2014-05,Karnataka,4-Wheelers,27.0
2014-05,Kerala,2-Wheelers,2.0
2014-05,Kerala,4-Wheelers,0.0
2014-05,Ladakh,2-Wheelers,0.0
2014-05,Ladakh,4-Wheelers,0.0
2014-05,Madhya Pradesh,2-Wheelers,4.0
2014-05,Madhya Pradesh,4-Wheelers,0.0
2014-05,Maharashtra,2-Wheelers,62.0
2014-05,Maharashtra,4-Wheelers,3.0
2014-05,Manipur,2-Wheelers,0.0
2014-05,Manipur,4-Wheelers,0.0
2014-05,Meghalaya,2-Wheelers,0.0
2014-05,Meghalaya,4-Wheelers,0.0
2014-05,Mizoram,2-Wheelers,0.0
2014-05,Mizoram,4-Wheelers,0.0
2014-05,Nagaland,2-Wheelers,0.0
2014-05,Nagaland,4-Wheelers,0.0
2014-05,Odisha,2-Wheelers,6.0
2014-05,Odisha,4-Wheelers,0.0
2014-05,Puducherry,2-Wheelers,1.0
2014-05,Puducherry,4-Wheelers,0.0
2014-05,Punjab,2-Wheelers,0.0
2014-05,Punjab,4-Wheelers,0.0
2014-05,Rajasthan,2-Wheelers,12.0
2014-05,Rajasthan,4-Wheelers,0.0
2014-05,Sikkim,2-Wheelers,0.0
2014-05,Sikkim,4-Wheelers,1.0
2014-05,Tamil Nadu,2-Wheelers,5.0
2014-05,Tamil Nadu,4-Wheelers,2.0
2014-05,Tripura,2-Wheelers,0.0
2014-05,Tripura,4-Wheelers,0.0
2014-05,Uttar Pradesh,2-Wheelers,7.0
2014-05,Uttar Pradesh,4-Wheelers,0.0
2014-05,Uttarakhand,2-Wheelers,0.0
2014-05,Uttarakhand,4-Wheelers,0.0
